t,q0,q1,q2,qd0,qd1,qd2,m,jd,sig0,sig1
0.0,1.0471975511965976,-1.0471975511965976,-1.0471975511965976,-0.0002418584480319714,0.000766556842705085,-0.001561805147373964,2.5980762113533165,-0.01538935056940597,2.65236920276441,0.9795280755591043
0.03333333333333333,1.0469556927485657,-1.0464309943538925,-1.0487593563439717,0.00036214353256433377,0.00012093134560254041,-0.0025047385783979826,2.5980701008560567,-0.01539478665367085,2.65236920276441,0.9795280755591043
0.06666666666666667,1.04731783628113,-1.04631006300829,-1.0512640949223697,0.000961459514213269,-0.0005219197370604544,-0.003447097375479856,2.5976826540357094,-0.015421755861246183,2.6496780222391285,0.9803767220896213
0.1,1.0482792957953433,-1.0468319827453505,-1.0547111922978496,0.0015541334188454053,-0.0011607325232659328,-0.0043874921403379945,2.5968969807193836,-0.015470249629070724,2.6454846265436527,0.9816337447828042
0.13333333333333333,1.0498334292141887,-1.0479927152686164,-1.0590986844381876,0.002138259530895339,-0.0017944803063054797,-0.005324767472152037,2.5956857477362028,-0.015540260426781246,2.6397878369015406,0.9832933205658284
0.16666666666666666,1.051971688745084,-1.0497871955749218,-1.0644234519103395,0.002711950629398584,-0.0024222015731099823,-0.006257807588906156,2.5940113510928895,-0.0156317857846485,2.632586887221574,0.9853469086563
0.2,1.0546836393744827,-1.0522093971480317,-1.0706812594992456,0.003273342651484558,-0.0030430148230773313,-0.007185547006217042,2.5918262892839166,-0.015744828038401555,2.623881439594071,0.9877833084123222
0.23333333333333334,1.0579569820259673,-1.055252411971109,-1.0778668065054626,0.0038205971465911192,-0.0036561322832808097,-0.008106979456068928,2.589073634345931,-0.01587939401826676,2.6136716074808626,0.9905887284904009
0.26666666666666666,1.0617775791725585,-1.05890854425439,-1.0859737859615315,0.004351901397657037,-0.004260872443707052,-0.009021164874161937,2.585687592932237,-0.016035494669039037,2.601957987409945,0.9937468650314745
0.3,1.0661294805702155,-1.063169416698097,-1.0949949508356935,0.004865465934646712,-0.00485667140452958,-0.009927234221827803,2.5815941486397187,-0.016213144588904986,2.5887417001014086,0.9972389862374409
0.3333333333333333,1.0709949465048623,-1.0680260881026264,-1.1049221850575213,0.005359519209307521,-0.005443093109499666,-0.010824391951446308,2.5767117761423597,-0.016412361472400112,2.5740244422387066,1.0010440203517708
0.36666666666666664,1.0763544657141697,-1.0734691812121262,-1.1157465770089676,0.005832299237122786,-0.006019838622994745,-0.01171191596094555,2.5709522173659947,-0.016633165440327228,2.5578085504463273,1.005138643749304
0.4,1.0821867649512924,-1.079489019835121,-1.1274584929699132,0.006282042039423793,-0.006586754691194413,-0.01258915490932224,2.564221309976649,-0.016875578236613682,2.5400970794587203,1.0094973655585904
0.43333333333333335,1.0884688069907162,-1.0860757745263154,-1.1400476478792354,0.006706966732617273,-0.0071438419091297825,-0.013455522777355157,2.5564198588363216,-0.017139622268848985,2.52089389698801,1.0140926049647538
0.4666666666666667,1.0951757737233334,-1.0932196164354453,-1.1535031706565906,0.0071052571100072605,-0.007691262894957297,-0.014310490552179596,2.5474445417808798,-0.017425319465510614,2.500203798447391,1.018894757044536
0.5,1.1022810308333406,-1.1009108793304025,-1.1678136612087702,0.007475039543131475,-0.008229350951827795,-0.01515357488770514,2.5371888420662443,-0.017732689918523663,2.4780326454998765,1.0238722426332016
0.5333333333333333,1.1097560703764722,-1.1091402302822304,-1.1829672360964754,0.007814356992606799,-0.008758619778332186,-0.015984323541232418,2.525544001080356,-0.018061750274654714,2.4543875334247267,1.0289915372721687
0.5666666666666667,1.117570427369079,-1.1178988500605627,-1.1989515596377078,0.008121138862781553,-0.009279774874134457,-0.016802297306137248,2.5123999864036057,-0.018412511833130644,2.4292769935884357,1.0342171736835915
0.6,1.1256915662318605,-1.1271786249346971,-1.215753856943845,0.008393166359794821,-0.009793727382415919,-0.017607048045976847,2.4976464720007945,-0.018784978299585392,2.4027112389534597,1.039511711398447
0.6333333333333333,1.1340847325916554,-1.1369723523171131,-1.233360904989822,0.008628032919607776,-0.010301611220739446,-0.018398092280547437,2.48117382923839,-0.01917914313771951,2.3747024626612783,1.0448356660471019
0.6666666666666666,1.1427127655112632,-1.1472739635378526,-1.2517589972703693,0.008823099162175583,-0.010804804483427338,-0.019174879570497898,2.4628741295537857,-0.01959498644961242,2.3452652024249168,1.050147389304743
0.7,1.1515358646734388,-1.1580787680212798,-1.2709338768408671,0.008975441702505133,-0.011304956259115106,-0.019936754682416777,2.442642161993556,-0.020032471303102355,2.314416786940047,1.055402888441299
0.7333333333333333,1.160511306375944,-1.169383724280395,-1.2908706315232839,0.009081795012614162,-0.011804020205348044,-0.020682912174803787,2.420376471547491,-0.020491539409628372,2.2821778850083283,1.060555571696226
0.7666666666666666,1.169593101388558,-1.181187744485743,-1.3115535436980876,0.00913848538708587,-0.012304296467198737,-0.021412341605269364,2.395980427331848,-0.020972106037921913,2.248573183865315,1.0655559020823773
0.8,1.178731586775644,-1.1934920409529417,-1.332965885303357,0.009141355930365929,-0.01280848382856301,-0.02212376099137607,2.3693633333578874,-0.021474054027366688,2.2136322307034138,1.0703509374748248
0.8333333333333334,1.18787294270601,-1.2063005247815046,-1.355089646294733,0.009085681375284371,-0.013319744352021618,-0.022815535422397344,2.3404415990528125,-0.021997226739048477,2.1773904810548856,1.074883728672743
0.8666666666666667,1.1969586240812944,-1.2196202691335263,-1.3779051817171304,0.008966071491326916,-0.0138417832023808,-0.023485576764754282,2.3091399921374407,-0.022541419751731996,2.139890610112196,1.0790925392286148
