t,q0,q1,q2,qd0,qd1,qd2,m,jd,sig0,sig1
0.0,0.5235987755982988,-0.5235987755982988,-0.5235987755982988,-0.01778796897513518,0.05007334740717295,-0.05190989469826654,1.9955076566049244,-0.0038473376423514925,3.4336451391842813,0.5852289220367475
0.03333333333333333,0.5058108066231637,-0.47352542819112586,-0.5755086702965654,-0.011400420938454,0.032255825627853923,-0.03397323340146088,2.009468443461534,-0.0037950122181309638,3.4336451391842813,0.5852289220367475
0.06666666666666667,0.4944103856847097,-0.44126960256327197,-0.6094819036980262,-0.005227692070947499,0.018913828720310957,-0.025042875542289143,2.0195809665418634,-0.0037919601851737366,3.4255588304264055,0.5895624820696689
0.1,0.4891826936137622,-0.422355773842961,-0.6345247792403154,-0.0006361462735623409,0.009736245632207137,-0.02018263058017707,2.033194194371959,-0.003837227834647883,3.4168349023846676,0.5950519274293754
0.13333333333333333,0.48854654734019987,-0.41261952821075387,-0.6547074098204925,0.0028364187898113594,0.0033619983637582845,-0.017843491729748043,2.050873313460868,-0.003918006889986596,3.40699740818787,0.6019591645511987
0.16666666666666666,0.4913829661300112,-0.4092575298469956,-0.6725509015502406,0.005531419174325434,-0.0011652245233336328,-0.017036141203784206,2.0726325333363786,-0.004028867345480528,3.395686119869954,0.6103722370593414
0.2,0.4969143853043366,-0.4104227543703292,-0.6895870427540247,0.007688967945226923,-0.00448551793119549,-0.01714209422295747,2.0982032038444807,-0.004167458318933999,3.382656330942065,0.620282700507188
0.23333333333333334,0.5046033532495635,-0.4149082723015247,-0.7067291369769821,0.009469967322378718,-0.007016427599231812,-0.017774800854704616,2.1271723995336305,-0.0043327646179080895,3.367747763222732,0.6316305581918209
0.26666666666666666,0.5140733205719422,-0.42192469990075654,-0.7245039378316868,0.010980172142810683,-0.009027367922944774,-0.018692846240361334,2.159047815469872,-0.004524359400729203,3.3508581318379997,0.6443268352532724
0.3,0.5250534927147529,-0.4309520678237013,-0.7431967840720481,0.012288978814681287,-0.010691960561873784,-0.019745826792749048,2.193292399547318,-0.004742085468455634,3.331923794903476,0.6582660752632423
0.3333333333333333,0.5373424715294342,-0.4416440283855751,-0.7629426108647972,0.013442514722569429,-0.012122880861937444,-0.020840535849871968,2.229345602458828,-0.004985918181468627,3.3109065980184726,0.6733338849827593
0.36666666666666664,0.5507849862520036,-0.45376690924751256,-0.7837831467146692,0.014472251930546853,-0.013394373342736826,-0.021919764152233363,2.266637928597216,-0.005255905563720674,3.2877852903058367,0.6894117858853148
0.4,0.5652572381825505,-0.46716128259024936,-0.8057029108669026,0.015400488894332464,-0.014556539680118597,-0.022948958901086138,2.3046015200981125,-0.0055521416659023905,3.262550073578965,0.7063804288435035
0.43333333333333335,0.5806577270768829,-0.48171782227036797,-0.8286518697679888,0.016243764894049016,-0.015644304031879205,-0.02390779594973451,2.342678004806961,-0.005874754619025957,3.235199222310146,0.7241217136341092
0.4666666666666667,0.5969014919709319,-0.4973621263022472,-0.8525596657177232,0.017014956831041185,-0.016682999213280324,-0.024784836104350637,2.3803242771179787,-0.006223901438825882,3.2057370500092226,0.7425201256326156
0.5,0.613916448801973,-0.5140451255155275,-0.8773445018220739,0.01772455519122605,-0.01769183204536707,-0.025574127177872035,2.4170166659584895,-0.006599766134668873,3.1741727484064026,0.7614634922349309
0.5333333333333333,0.6316410039931991,-0.5317369575608946,-0.9029186289999459,0.01838143640987663,-0.018686025548685686,-0.02627304168343587,2.4522538497488675,-0.007002559605415399,3.140519797380856,0.780843302371158
0.5666666666666667,0.6500224404030758,-0.5504229831095803,-0.9291916706833818,0.018993329002138907,-0.019678136378412044,-0.026880905959838598,2.4855588212836817,-0.007432520649630703,3.1047957562154056,0.8005546955247889
0.6,0.6690157694052147,-0.5701011194879924,-0.9560725766432204,0.019567093704250804,-0.020678855671608817,-0.027398141930677515,2.5164801590539536,-0.007889917796003692,3.0670223191893093,0.8204962002751653
0.6333333333333333,0.6885828631094655,-0.5907799751596011,-0.9834707185738979,0.02010888943646729,-0.021697482338293807,-0.027825745912338048,2.5445928186875273,-0.008375051831638555,3.0272255647027295,0.8405692817731616
0.6666666666666666,0.7086917525459328,-0.612477457497895,-1.011296464486236,0.020624266971427416,-0.022742183998525227,-0.028164993588724048,2.569498618484441,-0.008888258981400542,2.9854363566150686,0.8606777407232274
0.7,0.7293160195173601,-0.6352196414964202,-1.03946145807496,0.021118213898300084,-0.023820115447070515,-0.028417301043782775,2.590826557389286,-0.009429914717461931,2.9416908755524984,0.8807269923977602
0.7333333333333333,0.7504342334156602,-0.6590397569434907,-1.0678787591187426,0.02159516336221526,-0.02493743706607565,-0.028584197515103958,2.6082330728400636,-0.010000438173494022,2.89603127065768,0.9006232423200805
0.7666666666666666,0.7720293967778754,-0.6839771940095664,-1.0964629566338466,0.022058972328081523,-0.026099259394366307,-0.028667381737378157,2.6214023198625576,-0.010600297108757158,2.848506431257963,0.920272564982375
0.8,0.7940883691059569,-0.7100764534039327,-1.1251303383712248,0.022512871055386408,-0.027309531095864738,-0.02866884363476382,2.630046531194712,-0.01123001331369014,2.799172884994545,0.9395798827909256
0.8333333333333334,0.8166012401613434,-0.7373859844997974,-1.1537991820059885,0.022959383051186368,-0.028570883458451223,-0.028591038608642698,2.633906500557856,-0.011890168267459362,2.7480958353746248,0.9584478338248341
0.8666666666666667,0.8395606232125298,-0.7659568679582487,-1.1823902206146313,0.023400213406691003,-0.02988444390536673,-0.028437103817775238,2.6327522168649002,-0.012581408744876657,2.6953503585289673,0.9767755084358563
